zaman_damgasi,zaman_str,lat,lon,alt_m,hiz_ms,dikey_hiz_ms,yaw_derece,pitch_derece,roll_derece,batarya_v,batarya_yuzde,mod,arm,uydu_sayisi,hdop,gorev_notu
1780330809.818,2026-06-01 19:20:09.818,37.5735093,36.9184551,47.36,10.02,-0.11,263.4,4.3,2.2,16.12,75,GUIDED,True,14,1.42,
1780330809.839,2026-06-01 19:20:09.839,37.5734887,36.9184408,47.47,8.32,0.05,93.4,0.2,1.9,16.1,75,GUIDED,True,10,1.16,
1780330809.86,2026-06-01 19:20:09.860,37.5735283,36.9184213,47.62,8.82,0.37,15.4,-1.5,-4.1,16.09,74,GUIDED,True,11,1.26,
1780330809.881,2026-06-01 19:20:09.880,37.5735321,36.9184624,46.67,7.09,0.08,214.3,2.0,-4.4,16.08,74,GUIDED,True,14,1.31,
1780330809.902,2026-06-01 19:20:09.901,37.5735041,36.9184859,45.95,11.89,-0.44,212.9,-1.2,4.9,16.07,73,GUIDED,True,13,1.11,
1780330809.923,2026-06-01 19:20:09.922,37.5734842,36.918487,46.06,6.71,0.44,56.3,-4.0,4.1,16.06,73,GUIDED,True,13,0.92,
1780330809.943,2026-06-01 19:20:09.943,37.5735287,36.9184742,46.19,5.86,0.06,176.4,2.4,-4.5,16.04,72,GUIDED,True,15,1.06,
1780330809.964,2026-06-01 19:20:09.963,37.5735185,36.9184991,46.77,6.55,-0.23,32.0,1.5,-2.5,16.03,72,GUIDED,True,14,1.2,
1780330809.984,2026-06-01 19:20:09.984,37.5734927,36.918531,46.65,10.86,0.05,213.2,-0.9,-1.0,16.02,72,GUIDED,True,15,1.07,
1780330810.005,2026-06-01 19:20:10.005,37.5734865,36.9185801,46.9,6.36,0.29,303.5,-1.1,0.4,16.01,71,GUIDED,True,12,1.09,
1780330810.026,2026-06-01 19:20:10.026,37.5735285,36.9185778,47.01,8.63,0.22,158.8,-0.2,4.7,16.0,71,GUIDED,True,10,1.39,
1780330810.047,2026-06-01 19:20:10.047,37.5735607,36.918624,47.0,9.61,-0.11,297.9,-0.0,-2.7,15.98,70,GUIDED,True,16,1.26,
1780330810.069,2026-06-01 19:20:10.069,37.5735555,36.9186082,47.1,9.03,0.48,329.6,-4.3,-4.1,15.97,70,GUIDED,True,14,1.04,
1780330810.09,2026-06-01 19:20:10.089,37.5735829,36.9186516,48.01,7.86,-0.06,258.0,-3.4,-2.2,15.96,69,GUIDED,True,16,1.43,
1780330810.111,2026-06-01 19:20:10.111,37.5736188,36.9186934,48.15,11.57,-0.2,353.2,-0.1,0.4,15.95,69,GUIDED,True,11,1.02,
1780330810.132,2026-06-01 19:20:10.131,37.5736176,36.9187071,49.03,8.9,0.05,198.6,-1.3,-0.1,15.94,69,GUIDED,True,12,1.36,
1780330810.153,2026-06-01 19:20:10.152,37.5736369,36.9187158,49.66,10.49,-0.07,255.5,4.8,2.9,15.92,68,GUIDED,True,12,1.48,
1780330810.173,2026-06-01 19:20:10.173,37.5736114,36.9186867,50.43,5.71,0.05,247.1,-0.9,-1.9,15.91,68,GUIDED,True,10,1.34,
1780330810.194,2026-06-01 19:20:10.194,37.5736279,36.9187276,50.56,5.5,0.44,112.6,1.6,0.7,15.9,67,GUIDED,True,10,1.22,
1780330810.215,2026-06-01 19:20:10.215,37.573643,36.9187385,50.58,5.36,-0.37,218.4,4.4,3.6,15.89,67,GUIDED,True,15,1.2,
1780330810.236,2026-06-01 19:20:10.235,37.5736408,36.9187251,50.2,10.17,0.08,358.2,0.1,-2.0,15.88,66,GUIDED,True,14,1.16,
1780330810.257,2026-06-01 19:20:10.256,37.5736801,36.9187368,49.51,10.77,0.44,267.6,0.4,0.2,15.86,66,GUIDED,True,13,1.26,
1780330810.278,2026-06-01 19:20:10.277,37.573692,36.9187524,49.65,9.39,0.4,178.8,-2.0,-2.6,15.85,66,GUIDED,True,10,1.05,
1780330810.299,2026-06-01 19:20:10.298,37.573692,36.9187524,47.65,8.89,0.01,159.9,1.1,2.4,15.84,65,GUIDED,True,16,1.26,
1780330810.319,2026-06-01 19:20:10.319,37.573692,36.9187524,45.65,8.39,-0.21,109.5,3.1,4.0,15.83,65,GUIDED,True,11,1.37,
1780330810.34,2026-06-01 19:20:10.340,37.573692,36.9187524,43.65,7.89,-0.36,316.8,0.1,3.8,15.82,64,GUIDED,True,11,1.19,
1780330810.361,2026-06-01 19:20:10.361,37.573692,36.9187524,41.65,7.39,0.27,14.5,1.1,4.2,15.8,64,GUIDED,True,10,1.06,
1780330810.382,2026-06-01 19:20:10.382,37.573692,36.9187524,39.65,6.89,0.36,275.8,1.0,-2.5,15.79,63,GUIDED,True,12,1.16,
1780330810.403,2026-06-01 19:20:10.403,37.573692,36.9187524,37.65,6.39,0.34,352.9,1.3,-0.1,15.78,63,GUIDED,True,11,1.39,
1780330810.424,2026-06-01 19:20:10.424,37.573692,36.9187524,35.65,5.89,0.33,303.4,-3.7,1.7,15.77,63,GUIDED,True,16,1.37,
1780330810.445,2026-06-01 19:20:10.444,37.573692,36.9187524,33.65,5.39,-0.35,193.4,-4.8,-3.6,15.76,62,GUIDED,True,13,1.36,
1780330810.465,2026-06-01 19:20:10.465,37.573692,36.9187524,31.65,4.89,0.03,61.4,-4.4,-3.9,15.74,62,GUIDED,True,11,1.09,
1780330810.486,2026-06-01 19:20:10.486,37.573692,36.9187524,29.65,4.39,0.48,125.4,4.9,2.8,15.73,61,GUIDED,True,12,1.27,
1780330810.507,2026-06-01 19:20:10.507,37.573692,36.9187524,27.65,3.89,0.26,213.3,0.1,2.9,15.72,61,GUIDED,True,10,1.29,
1780330810.528,2026-06-01 19:20:10.527,37.573692,36.9187524,25.65,3.39,-0.22,39.7,1.3,1.6,15.71,60,GUIDED,True,16,0.96,
1780330810.548,2026-06-01 19:20:10.548,37.573692,36.9187524,23.65,2.89,-0.43,240.4,2.7,2.0,15.7,60,GUIDED,True,15,1.46,
1780330810.569,2026-06-01 19:20:10.569,37.573692,36.9187524,21.65,2.39,0.01,169.6,4.4,4.2,15.68,60,GUIDED,True,15,0.98,
1780330810.59,2026-06-01 19:20:10.590,37.573692,36.9187524,19.65,1.89,0.19,358.8,-4.1,2.4,15.67,59,GUIDED,True,13,1.28,
1780330810.611,2026-06-01 19:20:10.610,37.573692,36.9187524,17.65,1.39,0.38,213.3,-2.0,4.4,15.66,59,GUIDED,True,15,1.26,
1780330810.632,2026-06-01 19:20:10.631,37.573692,36.9187524,15.65,0.89,0.4,293.6,-1.2,3.0,15.65,58,GUIDED,True,11,1.08,
1780330810.652,2026-06-01 19:20:10.652,37.573692,36.9187524,13.65,0.39,0.36,227.9,4.7,1.9,15.64,58,GUIDED,True,15,1.34,
1780330810.673,2026-06-01 19:20:10.673,37.573692,36.9187524,11.65,0,-0.05,299.4,-4.2,3.5,15.62,57,GUIDED,True,10,1.07,
1780330810.694,2026-06-01 19:20:10.694,37.573692,36.9187524,9.65,0,-0.08,43.5,-0.5,-1.1,15.61,57,GUIDED,True,15,0.9,
1780330810.715,2026-06-01 19:20:10.714,37.573692,36.9187524,7.65,0,-0.26,138.0,2.0,-4.4,15.6,57,GUIDED,True,14,1.45,
